configuration,fold,precision,recall,f1,roc_auc,fit_seconds
A_static_default_no_smote,1,0.533585619678335,0.8195292066259808,0.6463442585377034,0.5319892685623865,3.045574600007967
A_static_default_no_smote,2,0.5405966767371602,0.8317838466008135,0.6552986953536278,0.5471781603193796,1.5578900999971665
A_static_default_no_smote,3,0.5390110923105847,0.8331880267364138,0.6545662100456621,0.5441196068325551,1.66783600000781
A_static_default_no_smote,4,0.5347703842549203,0.8291194420226679,0.6501823154056517,0.5224813908858904,1.5385892000049353
A_static_default_no_smote,5,0.5372141372141372,0.7505082776648272,0.6261965345934811,0.5217651580203378,1.5795065999991493
B_engineered_default_no_smote,1,0.850828729281768,0.7608253414705027,0.8033138999693158,0.88257408865563,7.995572400002857
B_engineered_default_no_smote,2,0.8491547464239272,0.7588611272515979,0.801472844430807,0.8779200878781053,7.445921399994404
B_engineered_default_no_smote,3,0.8638954073080791,0.7489102005231038,0.8023038605230386,0.8833280112490068,7.416970699996455
B_engineered_default_no_smote,4,0.8576594345825115,0.7582098227259517,0.8048742865957118,0.8865850135205499,7.258358999999473
B_engineered_default_no_smote,5,0.859954083306002,0.7615451641010746,0.8077634011090573,0.8857298644501648,7.423985800007358
C_engineered_default_smote,1,0.8567183889072301,0.7541412380122058,0.8021638330757341,0.8824858752259761,11.23454029999266
C_engineered_default_smote,2,0.8543593130779392,0.7515979081929111,0.7996908809891808,0.8768468215662418,9.455544000011287
C_engineered_default_smote,3,0.8684922244759973,0.7465852949723918,0.8029379590561025,0.8839284575862936,9.468067499998142
C_engineered_default_smote,4,0.8672922252010724,0.7521069456553328,0.8056031128404669,0.8872490226395896,9.146821300004376
C_engineered_default_smote,5,0.8674496644295302,0.7507987220447284,0.8049198193990347,0.8854390425020087,8.78687580001133
D_engineered_tuned_smote,1,0.8626081170991351,0.7535600116245278,0.8044051496820226,0.8843008145952991,119.6040975000069
D_engineered_tuned_smote,2,0.8698746187732972,0.7457873329459617,0.8030658532770217,0.8813454852472382,155.23201210000843
D_engineered_tuned_smote,3,0.8708361658735554,0.7445510026155188,0.8027573241422529,0.8852858015951519,165.40880199999083
D_engineered_tuned_smote,4,0.8739782016348774,0.7457134553908747,0.8047671318801944,0.8896109513856167,111.96715279998898
D_engineered_tuned_smote,5,0.8778156996587031,0.7470229451060122,0.8071551859406872,0.8888212517312686,140.13554800000566
