configuration,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd,fit_seconds_mean
A_static_default_no_smote,0.5370355820390275,0.002900399951902069,0.8128257599301406,0.035241736014726084,0.6465176027872253,0.011919455155328924,0.5335067169241099,0.011845531499146918,1.8778793000034057
B_engineered_default_no_smote,0.8562984801804575,0.006202419684209085,0.7576703312144462,0.005084716207361105,0.8039456585255861,0.0024822841108645853,0.8832274131506914,0.003396336157249965,7.50816186000011
C_engineered_default_smote,0.8628623632183539,0.00675301098389574,0.7510460217755139,0.0027825232441660297,0.8030631210721039,0.002350280540069433,0.883189843904022,0.0039626657943029895,9.618369780003558
D_engineered_tuned_smote,0.8710225606079136,0.005635555098184961,0.7473269495365791,0.003592462442354097,0.8044301289844358,0.0017464001959733742,0.885872860910915,0.003390406593806965,138.46952248000017
