model,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,fit_seconds_mean,fit_seconds_sd
decision_tree,0.8813800675488777,0.030298059677053672,0.6939258176792553,0.037526613083243926,0.7753206765162859,0.012982152824662436,0.8593012270063698,0.00761895141082969,0.8801925746848284,0.011465759393670212,16.340408219999517,4.7338911515929665
lightgbm,0.8753962524743215,0.004160151621235669,0.7416316568519805,0.00458778784735065,0.8029659970388167,0.002160384934141449,0.8875838144908123,0.003077985027341882,0.9163877284292361,0.002382419459701841,65.48791747999785,10.774819919094494
logistic_regression,0.8496688309931807,0.0023918036591611654,0.7149585994683652,0.006291461117305569,0.7764973291738255,0.003252830339032666,0.8641199216852653,0.001651352872236056,0.8947711497031356,0.0020628832194410007,15.802889580003102,6.408405265978052
majority_baseline,0.5279661205872783,6.476179334552656e-05,1.0,0.0,0.6910704524616751,5.547630465889348e-05,0.5,0.0,0.5279661205872783,6.476179334552656e-05,0.1104469199955929,0.04345348548206357
random_forest,0.8743354343607436,0.005014068061499734,0.7433170108485667,0.003943440273849635,0.8035046818492273,0.0019424168241400476,0.8865306924120298,0.0032160035560963906,0.9154749140073164,0.002110082444318969,352.1183162200003,79.70692189659114
xgboost,0.8739460085091292,0.0063802816732110666,0.7445367084105962,0.007802850489473023,0.8040300997033916,0.004017832365727539,0.8875420525017388,0.0031436771500039525,0.9166160427703259,0.002199806779847713,58.35690599999798,9.056851237897996
