accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,n,model,fold,fit_seconds,best_params
0.5279226756673826,0.5279226756673826,1.0,0.6910332362687017,0.5,0.5279226756673826,0,3077,0,3441,6518,majority_baseline,1,0.18370120000327006,{}
0.5279950912716674,0.5279950912716674,1.0,0.6910952715590805,0.5,0.5279950912716674,0,3077,0,3442,6519,majority_baseline,2,0.09134429998812266,{}
0.5279226756673826,0.5279226756673826,1.0,0.6910332362687017,0.5,0.5279226756673826,0,3077,0,3441,6518,majority_baseline,3,0.08486509999784175,{}
0.5279226756673826,0.5279226756673826,1.0,0.6910332362687017,0.5,0.5279226756673826,0,3077,0,3441,6518,majority_baseline,4,0.0766789999906905,{}
0.5280674846625767,0.5280674846625767,1.0,0.6911572819431898,0.5,0.5280674846625767,0,3077,0,3443,6520,majority_baseline,5,0.11564499999803957,{}
0.7859772936483584,0.8472505091649695,0.7253705318221447,0.7815875998121183,0.8647274918097986,0.8959153244823159,2627,450,945,2496,6518,logistic_regression,1,27.26510319999943,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}"
0.7812547936800123,0.8504867872044506,0.7106333527019175,0.7742956631845521,0.8614454452700275,0.8919293543640439,2647,430,996,2446,6519,logistic_regression,2,12.850029299996095,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}"
0.7801472844430807,0.849095966620306,0.7096774193548387,0.7731518125692576,0.8636793670393637,0.8939888321095166,2643,434,999,2442,6518,logistic_regression,3,12.81921100000909,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}"
0.7822951825713409,0.8481404958677686,0.7157802964254577,0.7763593380614657,0.8652185213823591,0.8946057817040267,2636,441,978,2463,6518,logistic_regression,4,13.043837899997015,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}"
0.7838957055214724,0.8533703961084086,0.7133313970374673,0.7770922322417338,0.8655287829247778,0.8974164558557755,2655,422,987,2456,6520,logistic_regression,5,13.03626650001388,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}"
0.7947223074562749,0.8560785641720284,0.7346701540249927,0.7907413199874883,0.8577213243310301,0.8801136053755196,2652,425,913,2528,6518,decision_tree,1,12.92860309999378,"{""model__min_samples_leaf"": 5, ""model__max_depth"": 10, ""model__class_weight"": ""balanced""}"
