model,fold,feature,permutation_f1_mean,permutation_f1_sd
lightgbm,1,module_presentation_length,0.006147237345724432,0.0007246760991577172
lightgbm,1,boundary_day,0.00022294711237410558,0.00040952302304529014
lightgbm,1,total_clicks,-0.0024661570130468102,0.0013277489264800833
lightgbm,1,active_vle_days,0.00031635142929313796,0.0012708803553098398
lightgbm,1,vle_event_count,-0.00017611575118612333,0.0012835069436438913
lightgbm,1,distinct_vle_sites,-0.0017650156274052308,0.0013472829342993243
lightgbm,1,first_vle_day,0.003348243708105625,0.0007024696766079309
lightgbm,1,last_vle_day,0.029736279994868508,0.002203491347473499
lightgbm,1,vle_span_days,0.00010546404324316417,0.001270301655273525
lightgbm,1,early_assessments_submitted,-0.001729508304586913,0.000656944070201056
lightgbm,1,mean_early_score,0.030601993402924955,0.003119226217198725
lightgbm,1,median_early_score,0.0018331375696352347,0.0010430573323678045
lightgbm,1,max_early_score,0.005335433550759316,0.001212549910310203
lightgbm,1,mean_submission_delay,0.013909503042692794,0.001923956690300363
lightgbm,1,late_early_submissions,-0.0010269664107064424,0.0007017445986465784
lightgbm,1,early_assessment_attempts,-0.0005147836920936566,0.0003155494070437896
lightgbm,1,early_assessments_available,0.002559973709277985,0.0013503612357191497
lightgbm,1,assessment_submission_rate,0.05911486548827061,0.0034713211720081537
lightgbm,2,module_presentation_length,0.008379226453459333,0.0010969844651701989
lightgbm,2,boundary_day,0.007369113306413144,0.0012164394706701282
lightgbm,2,total_clicks,3.0138277613867003e-05,0.0012903766953261866
lightgbm,2,active_vle_days,0.0031638022164823033,0.0016082676830790185
lightgbm,2,vle_event_count,0.00014484146655167063,0.0016679033199695245
lightgbm,2,distinct_vle_sites,-0.0007700939688988328,0.0023357307868673376
lightgbm,2,first_vle_day,0.0040888553968420616,0.002080003571331972
lightgbm,2,last_vle_day,0.031199757926826853,0.003763006743764683
lightgbm,2,vle_span_days,0.00014365108557822247,0.0011979954400103408
lightgbm,2,early_assessments_submitted,0.001241906632696088,0.0007420939523573048
lightgbm,2,mean_early_score,0.033536026234070024,0.002650796032756869
lightgbm,2,median_early_score,0.005293839226233865,0.002472069038512534
lightgbm,2,max_early_score,0.010571685653185203,0.0019122828986580835
lightgbm,2,mean_submission_delay,0.017583325492773205,0.002275656064294197
lightgbm,2,late_early_submissions,0.004334328355654604,0.0013735758229435507
lightgbm,2,early_assessment_attempts,0.0007515227751358489,0.000391811189142528
lightgbm,2,early_assessments_available,0.0022114334467580933,0.0009941756644896
lightgbm,2,assessment_submission_rate,0.05196111126957215,0.0029979887128400344
lightgbm,3,module_presentation_length,0.002674545572239129,0.001639415983843911
lightgbm,3,boundary_day,-0.0011582670306712673,0.000767225841736098
lightgbm,3,total_clicks,0.0005366341180857104,0.001394502607365757
lightgbm,3,active_vle_days,0.00285338335443579,0.0016700456229422208
lightgbm,3,vle_event_count,-0.0007220954303780891,0.0012464015184279608
lightgbm,3,distinct_vle_sites,-0.004329840545265329,0.002334737771344106
lightgbm,3,first_vle_day,0.006047355879988092,0.001544191153843549
lightgbm,3,last_vle_day,0.02887015358464673,0.002571623101527633
lightgbm,3,vle_span_days,-0.0017182176614821798,0.0008345769721734787
lightgbm,3,early_assessments_submitted,-0.0010973962081040288,0.0009860863532517178
lightgbm,3,mean_early_score,0.03647436599495444,0.0024677552576411296
lightgbm,3,median_early_score,0.0029315674672832914,0.0011878448773834593
lightgbm,3,max_early_score,0.004858310231392426,0.0018196233208561707
lightgbm,3,mean_submission_delay,0.01169639247981642,0.0010698734103917018
lightgbm,3,late_early_submissions,0.0013701553993456627,0.001285534155352787
lightgbm,3,early_assessment_attempts,0.00013631030469924977,0.00035401213401397907
lightgbm,3,early_assessments_available,0.002998805150044026,0.001287095646286346
lightgbm,3,assessment_submission_rate,0.051081448281975105,0.0033764638515521536
lightgbm,4,module_presentation_length,0.012248394198369993,0.001744193342467022
lightgbm,4,boundary_day,0.0070174257292067495,0.0019532554621794376
lightgbm,4,total_clicks,-0.0016379315089734337,0.002050186423876054
lightgbm,4,active_vle_days,0.0007585282169841001,0.0014312109996806985
lightgbm,4,vle_event_count,-0.0029591142001770708,0.0015294803455647822
lightgbm,4,distinct_vle_sites,-0.0007649965858289809,0.001713814585881309
lightgbm,4,first_vle_day,0.005051760399523719,0.0015440340204767868
lightgbm,4,last_vle_day,0.024437319732596895,0.0023097212463503635
lightgbm,4,vle_span_days,-0.0001379922505222564,0.00099315365354387
lightgbm,4,early_assessments_submitted,-0.001325520190229168,0.000954747780510979
lightgbm,4,mean_early_score,0.032569338233501166,0.0019395271852064556
lightgbm,4,median_early_score,0.0018273419986029383,0.001488014222604214
lightgbm,4,max_early_score,0.004113673729080236,0.0010048378548409768
lightgbm,4,mean_submission_delay,0.01208503282783575,0.0024269122559795065
lightgbm,4,late_early_submissions,6.996591977045385e-05,0.0008713624700133225
